municipio,capital_total,desvio_padrão,quantidade
ARAPONGAS,25000,,1
ARARANGUA,100000,,1
ARAUCARIA,30000,14142.13562373095,2
BAGE,128000,33941.12549695428,2
BALNEARIO CAMBORIU,517000,15224.979474534606,5
BENTO GONCALVES,6500,2474.8737341529163,2
BIGUACU,11200,2193.931022920578,3
BLUMENAU,16362319,1813542.3994412145,24
BRUSQUE,95400,,1
CACADOR,0,,1
CACHOEIRINHA,52000,28290.16319029166,3
CAMBORIU,10000,,1
CAMPINA GRANDE DO SUL,7500,,1
CAMPO MOURAO,50000,,1
CANOAS,288400,35641.87252268148,13
CANTAGALO,30000,,1
CAPAO DA CANOA,500,,1
CASCAVEL,150000,34034.296427770234,4
CAXIAS DO SUL,461100,36688.80659563302,18
CHAPECO,120000,52201.53254455275,3
COLOMBO,116000,61808.84510596629,3
CRICIUMA,170000,37237.97345005051,6
CURITIBA,67607784,1315463.3983490265,219
DIONISIO CERQUEIRA,100000,,1
DOIS IRMAOS,793000,556493.0367938129,2
DOIS VIZINHOS,300000,70710.67811865476,2
ELDORADO DO SUL,15000,,1
ENCANTADO,5000,,1
ESTEIO,10000,,1
ESTRELA,15000,,1
FARROUPILHA,20000,0.0,2
FAXINAL DO SOTURNO,100000,,1
FLORIANOPOLIS,153028349,13507041.184682967,73
FOZ DO IGUACU,139400,44043.766112054196,3
FRANCISCO BELTRAO,270000,26457.513110645905,3
GARIBALDI,1000000,,1
GRAVATAI,151000,105358.91039679557,2
GUARAMIRIM,1000,,1
GUARAPUAVA,10000,,1
IJUI,0,,1
IMBITUBA,6000,,1
INDAIAL,1000,,1
ITAJAI,80000,8164.96580927726,4
ITAPEMA,25000,,1
JANDAIA DO SUL,30000,,1
JARAGUA DO SUL,70000,10271.319292087068,5
JATAIZINHO,3504400,,1
JOACABA,30000,,1
JOINVILLE,1922608,66199.70568710861,43
LAGES,95000,,1
LAJEADO,1383800,378100.94771987374,6
LAPA,40000,,1
LONDRINA,3829800,473273.59703141986,18
MANDAGUACU,6000,,1
MARIALVA,60000,,1
MARINGA,273500,25474.8626369923,14
MARIOPOLIS,2000,,1
MATINHOS,12000,,1
MONDAI,4000,,1
MONTENEGRO,30000,,1
MORRO REUTER,100000,,1
NAO-ME-TOQUE,40000,,1
NAVEGANTES,30000,,1
NOVA SANTA RITA,80000,,1
NOVO HAMBURGO,1718000,198534.41033713045,14
PALHOCA,51000,12257.650672131262,4
PARANAGUA,0,,1
PAROBE,2000,,1
PASSO FUNDO,150000,51961.52422706632,3
PATO BRANCO,30000,7071.067811865475,2
PELOTAS,568000,124768.98653110876,5
PINHAIS,6039000,1485604.927293929,11
PIRAQUARA,129800,49356.05332682102,2
PONTA GROSSA,40000,7637.6261582597335,3
PORTO ALEGRE,38670647,1078588.218712927,160
PRESIDENTE GETULIO,80000,,1
QUATRO BARRAS,0,,1
QUEDAS DO IGUACU,10000,,1
RIO DO SUL,90000,15000.0,4
RIO NEGRINHO,0,,1
RODEIO,100000,,1
ROSARIO DO SUL,50000,,1
SANTA CRUZ DO SUL,1230200,598529.8767257432,3
SANTA MARIA,150000,42524.502740576914,4
SAO BENTO DO SUL,70000,42426.40687119285,2
SAO JERONIMO,100000,,1
SAO JOAO BATISTA,104500,,1
SAO JOSE,34000,4267.819784654187,8
SAO JOSE DOS PINHAIS,114000,56471.231613981996,3
SAO LEOPOLDO,234500,33740.6272058245,12
SAO MARCOS,5000,,1
SAO MARTINHO,0,,1
SAO MATEUS DO SUL,78800,,1
SAO MIGUEL DO OESTE,10000,,1
SAO SEPE,5000,,1
SAPIRANGA,80000,,1
SAPUCAIA DO SUL,35000,3535.5339059327375,2
SARANDI,90000,,1
TAIO,93700,,1
TOLEDO,25000,10606.601717798212,2
TRES COROAS,0,,1
TRES DE MAIO,10000,,1
TUBARAO,30000,7071.067811865475,2
UNIAO DA VITORIA,93700,,1
VIAMAO,0,,1
VIDEIRA,10000,,1
XANXERE,30000,7071.067811865475,2
